id,region,dowt,trp_expert,sp_sale,uio,cpc,total_w
nw1,NorthWest,Certified,0.8,"11,033,450"," 1,777 "," 16,102 "," 4,798,266 "
nw2,NorthWest,Certified,1,"21,202,339"," 1,181 "," 11,601 "," 6,218,265 "
nw3,NorthWest,Certified,1,"24,568,778"," 3,746 "," 12,409 "," 6,986,205 "
nw4,NorthWest,Certified,0.63,"33,605,974"," 3,959 "," 11,580 "," 14,973,266 "
nw5,NorthWest,Certified,0.75,"22,684,320"," 2,390 "," 23,977 "," 13,427,379 "
nw6,NorthWest,Certified,0.8,"24,676,790"," 1,875 "," 20,718 "," 11,291,282 "
nw7,NorthWest,Certified,0.75,"15,030,324", 972 ," 14,401 "," 5,717,109 "
nw8,NorthWest,Certified,1,"6,092,729", 537 ," 7,552 "," 2,303,501 "
nw9,NorthWest,Certified,1,"20,980,906"," 2,091 "," 11,849 "," 6,315,365 "
nw10,NorthWest,Not Certified,1,"3,492,950"," 1,105 "," 9,130 "," 1,433,422 "
spb1,St Petersburg,Certified,1,"50,340,721"," 3,080 "," 14,936 "," 18,282,223 "
spb2,St Petersburg,Certified,1,"41,472,859"," 3,368 "," 13,653 "," 8,738,009 "
spb3,St Petersburg,Not Certified,1,"31,581,327"," 1,663 "," 12,381 "," 5,559,141 "
spb4,St Petersburg,Certified,1,"79,253,108"," 3,533 "," 21,709 "," 11,223,418 "
spb5,St Petersburg,Certified,1,"68,845,054"," 7,501 "," 17,057 "," 11,905,674 "
spb6,St Petersburg,Certified,1,"33,747,861"," 4,535 "," 13,337 "," 9,162,473 "
spb7,St Petersburg,Certified,0.94,"53,697,909"," 6,555 "," 10,793 "," 8,127,268 "
spb8,St Petersburg,Certified,0.75,"30,614,828"," 3,298 "," 18,142 "," 7,891,889 "
spb9,St Petersburg,Certified,1,"16,016,063"," 4,059 "," 8,575 "," 5,316,426 "
spb10,St Petersburg,Not Certified,1,"59,236,587"," 2,939 "," 11,497 "," 3,161,812 "
spb11,St Petersburg,Certified,0.93,"27,257,440"," 3,463 "," 19,062 "," 10,464,900 "
spb12,St Petersburg,Certified,0.83,"210,048,919"," 10,549 "," 17,253 "," 14,302,960 "
spb13,St Petersburg,Certified,0.88,"51,612,372"," 6,108 "," 17,875 "," 19,537,915 "
spb14,St Petersburg,Certified,0.88,"42,837,376"," 4,417 "," 11,136 "," 9,065,105 "
south1,South,Certified,0.64,"20,813,534"," 2,861 "," 20,467 "," 9,373,995 "
south2,South,Certified,1,"34,078,361"," 3,761 "," 13,861 "," 11,837,206 "
south3,South,Certified,1,"37,645,293"," 5,029 "," 15,683 "," 14,083,153 "
south4,South,Certified,1,"25,424,147"," 3,661 "," 19,854 "," 10,145,649 "
south5,South,Certified,1,"46,356,992"," 4,423 "," 15,640 "," 8,883,632 "
south6,South,Certified,1,"12,880,316"," 3,014 "," 6,841 "," 1,354,477 "
south7,South,Certified,1,"26,044,742"," 6,328 "," 23,849 "," 10,755,861 "
south8,South,Not Certified,0.88,"31,907,332"," 4,312 "," 23,045 "," 9,932,362 "
south9,South,Certified,1,"21,675,443"," 6,312 "," 18,891 "," 8,916,561 "
south10,South,Certified,1,"7,620,195"," 3,598 "," 19,874 "," 6,797,036 "
south11,South,Certified,1,"25,381,641"," 3,841 "," 30,561 "," 13,935,720 "
south12,South,Certified,1,"18,866,779"," 2,842 "," 18,233 "," 10,283,667 "
south13,South,Certified,0,"8,292,008"," 1,075 "," 14,297 "," 2,230,310 "
south14,South,Certified,0.8,"15,937,444"," 3,349 "," 16,249 "," 6,450,924 "
south15,South,Certified,1,"16,737,513"," 3,124 "," 24,418 "," 3,589,509 "
south16,South,Certified,0.78,"36,768,077"," 3,983 "," 17,623 "," 21,499,724 "
south17,South,Certified,0.7,"7,265,904"," 4,051 "," 18,616 "," 7,949,084 "
south18,South,Certified,1,"18,678,214"," 1,909 "," 20,870 "," 8,723,503 "
south19,South,Certified,1,"24,316,604"," 5,150 "," 24,315 "," 19,451,981 "
south20,South,Certified,1,"19,134,871"," 1,899 "," 34,606 "," 13,046,278 "
